4,53536716508593/3,12959502705989/ 
4,29685524420251/3,43840540500803/7,72902043926874 
4,3049730227359/2,19654449328227/6,50151751601818 
4,86006035781566/2,63652255019608/7,49658290801173 
4,86817813634905/2,63652255019608/7,50470068654513 
3,01140485798294/3,43840540500803/6,18978831990477 
4,29685524420251/2,63652255019608/6,93337779439858 
4,3049730227359/2,19654449328227/6,50151751601818 
4,29685524420251/3,43840540500803/7,72902043926874 
4,29685524420251/2,63652255019608/6,93337779439858 
4,3049730227359/2,19654449328227/6,50151751601818 
4,29685524420251/2,63652255019608/6,93337779439858 
4,3049730227359/2,19654449328227/6,50151751601818 
4,3049730227359/2,19654449328227/6,50151751601818 
4,86006035781566/2,63652255019608/7,49658290801173 
3,01140485798294/3,43840540500803/6,18978831990477 
4,29685524420251/3,43840540500803/7,72902043926874 
4,29685524420251/3,43840540500803/7,72902043926874 
4,29685524420251/3,43840540500803/7,72902043926874 
3,01140485798294/3,43840540500803/6,18978831990477 
4,3049730227359/2,19654449328227/6,50151751601818 
4,3049730227359/2,19654449328227/6,50151751601818 
4,3049730227359/3,45676641637247/7,76173943910837 
4,29685524420251/2,63652255019608/6,93337779439858 
3,01140485798294/3,43840540500803/6,18978831990477 
4,29685524420251/3,43840540500803/7,72902043926874 
4,29685524420251/3,43840540500803/7,72902043926874 
4,86817813634905/2,63652255019608/7,50470068654513 
4,3049730227359/2,19654449328227/6,50151751601818 
4,86817813634905/2,63652255019608/7,50470068654513 
4,86817813634905/2,63652255019608/7,50470068654513 
4,3049730227359/2,19654449328227/6,50151751601818 
3,01140485798294/3,43840540500803/6,18978831990477 
4,29685524420251/3,43840540500803/7,72902043926874 
4,3049730227359/2,19654449328227/6,50151751601818 
4,29685524420251/2,63652255019608/6,93337779439858 
4,29685524420251/3,43840540500803/7,72902043926874 
4,29685524420251/3,43840540500803/6,90877657309234 
4,29685524420251/3,43840540500803/7,72902043926874 
4,86817813634905/2,63652255019608/7,50470068654513 
4,86006035781566/2,63652255019608/7,49658290801173 
4,29685524420251/3,43840540500803/7,72902043926874 
4,29685524420251/3,45676641637247/7,75362166057498 
4,86817813634905/2,63652255019608/7,50470068654513 
4,3049730227359/2,19654449328227/6,50151751601818 
3,01140485798294/3,45676641637247/6,46817127435541 
4,3049730227359/3,45676641637247/7,76173943910837 
4,3049730227359/3,45676641637247/7,76173943910837 
3,01140485798294/3,43840540500803/6,18978831990477 
4,29685524420251/3,43840540500803/7,72902043926874 
4,3049730227359/3,45676641637247/7,76173943910837 
4,29685524420251/3,43840540500803/7,72902043926874 
4,3049730227359/2,19654449328227/6,50151751601818 
3,01140485798294/3,43840540500803/6,18978831990477 
4,29685524420251/3,45676641637247/7,75362166057498 
4,3049730227359/2,19654449328227/6,50151751601818 
4,3049730227359/2,19654449328227/6,50151751601818 
4,86817813634905/2,63652255019608/7,50470068654513 
4,3049730227359/2,63652255019608/6,94149557293198 
3,01140485798294/3,43840540500803/6,18978831990477 
4,29685524420251/3,43840540500803/7,72902043926874 
4,29685524420251/2,63652255019608/6,93337779439858 
4,3049730227359/2,63652255019608/6,94149557293198 
4,3049730227359/2,19654449328227/6,50151751601818 
4,29685524420251/3,45676641637247/7,75362166057498 
4,3049730227359/2,19654449328227/6,50151751601818 
4,29685524420251/3,43840540500803/7,72902043926874 
3,01140485798294/3,43840540500803/6,18978831990477 
4,86817813634905/2,63652255019608/7,50470068654513 
4,3049730227359/3,45676641637247/7,76173943910837 
3,01140485798294/3,45676641637247/6,46817127435541 
3,01140485798294/3,43840540500803/6,18978831990477 
4,29685524420251/3,43840540500803/7,9686897767626 
4,3049730227359/3,45676641637247/7,76173943910837 
3,01140485798294/3,43840540500803/6,18978831990477 
4,86817813634905/2,63652255019608/7,50470068654513 
3,01140485798294/3,43840540500803/6,18978831990477 
4,3049730227359/2,19654449328227/6,50151751601818 
4,29685524420251/3,45676641637247/7,75362166057498 
4,3049730227359/2,19654449328227/6,50151751601818 
4,86006035781566/2,63652255019608/7,49658290801173 
4,86817813634905/2,63652255019608/7,50470068654513 
4,3049730227359/2,19654449328227/6,50151751601818 
4,29685524420251/3,45676641637247/7,75362166057498 
4,3049730227359/3,45676641637247/7,76173943910837 
4,3049730227359/3,45676641637247/7,76173943910837 
4,29685524420251/3,43840540500803/7,72902043926874 
4,86817813634905/2,63652255019608/7,50470068654513 
4,86817813634905/3,45676641637247/8,32494455272152 
4,3049730227359/2,19654449328227/6,50151751601818 
4,3049730227359/3,45676641637247/7,76173943910837 
4,86817813634905/2,63652255019608/7,50470068654513 
4,3049730227359/3,45676641637247/7,76173943910837 
4,3049730227359/2,19654449328227/6,50151751601818 
4,29685524420251/3,43840540500803/7,72902043926874 
4,3049730227359/2,19654449328227/6,50151751601818 
4,3049730227359/2,19654449328227/6,50151751601818 
3,01140485798294/3,45676641637247/6,46817127435541 
4,29685524420251/3,45676641637247/7,75362166057498 
3,01140485798294/3,43840540500803/6,18978831990477 
4,86817813634905/2,63652255019608/7,50470068654513 
